"PRIVILEGE","GRANTEE","GRANTABLE","GRANTOR","OBJECT_NAME"
"ALTER","SDE","NO","EDGIS","PGE_PSPSMAPROWS"
"DELETE","SDE","NO","EDGIS","PGE_PSPSMAPROWS"
"INDEX","SDE","NO","EDGIS","PGE_PSPSMAPROWS"
"INSERT","SDE","NO","EDGIS","PGE_PSPSMAPROWS"
"SELECT","SDE","NO","EDGIS","PGE_PSPSMAPROWS"
"UPDATE","SDE","NO","EDGIS","PGE_PSPSMAPROWS"
"REFERENCES","SDE","NO","EDGIS","PGE_PSPSMAPROWS"
"READ","SDE","NO","EDGIS","PGE_PSPSMAPROWS"
"ON COMMIT REFRESH","SDE","NO","EDGIS","PGE_PSPSMAPROWS"
"QUERY REWRITE","SDE","NO","EDGIS","PGE_PSPSMAPROWS"
"DEBUG","SDE","NO","EDGIS","PGE_PSPSMAPROWS"
"FLASHBACK","SDE","NO","EDGIS","PGE_PSPSMAPROWS"
