Source_host,Target_Host,Port,Env,ServerType
All Servers |VDI,QAEDGISDBOLG001,1522,QA,Database
All Servers |VDI,QAEDGISDBOLG003,1521,QA,Database
All Servers |VDI,QAEDGMDBOLG005,1521,QA,Database
All Servers |VDI,QAEDGMDBOLG007,1521,QA,Database
All Servers |VDI,QAEDGMDBOLG001,1521,QA,Database
All Servers |VDI,QAEDGMDBOLG003,1521,QA,Database
All Servers |VDI,QALBGISDBOLG001,1521,QA,Database
All Servers |VDI,QALBGMDBOLG001,1521,QA,Database
All Servers |VDI,QALBGMDBOLG003,1521,QA,Database
All Servers |VDI,QAEDGISDBOLX002,1521,QA,Database
All Servers |VDI,QAEDGMDBOLX002,1521,QA,Database
All Servers |VDI,QALBGISDBOLX002,1521,QA,Database
All Servers,QALBGMAPPWG001,6080;6443,QA,Application
All Servers,QALBGMAPPWG003,6080;6443,QA,Application
All Servers,QAEDGMAPPWG001,6080;6443,QA,Application
All Servers,QAEDGMAPPWG003,6080;6443,QA,Application
All Servers,QAEDGMAPPWG005,6080;6443,QA,Application
All Servers,QAEDGMAPPWG007,6080;6443,QA,Application
All Servers,QAEDGMAPPWG002,6080;6443,QA,Application
All Servers,QAEDGMAPPWG004,6080;6443,QA,Application
All Servers,QALBGMAPPWG002,6080;6443,QA,Application
All Servers,QALBGMAPPWG004,6080;6443,QA,Application
All Servers,QAEDGMPTSWG001,6080;6443,QA,Application
All Servers,QAEDGMPTSWG003,6080;6443,QA,Application
All Servers,QAEDGMPTSWG005,6080;6443,QA,Application
All Servers,QAEDGMPTSWG002,6080;6443,QA,Application
